Accession,Keywords,Go
Q12HP6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
A4YCI3,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
A1SBU5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
P0A308,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q8DDH3,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q9KNH0,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane proton-transporting ATP synthase complex, coupling factor F(o),C:proton-transporting ATP synthase complex, coupling factor F(o),F:lipid binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q8E8B4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:proton-transporting ATP synthase activity, rotational mechanism,P:plasma membrane ATP synthesis coupled proton transport"
Q07VT8,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A6WUJ6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q0HPF5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A0L2T4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A1SBU6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A3DAS0,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
B8CVV1,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
B1KQ40,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A3QJR6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q9HT13,"Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),P:proton transport"
P0A103,"Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),P:proton transport"
P12983,"Cell inner membrane,Cell membrane,CF(0),Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),P:proton transport"
Q9KNG8,"Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
